"","ID","LMT_Date","Age","Sex","Year","site","dist_hub","Stage"
"168",128,2014-05-27,"Adult","Male",2014,"Webb",218.676589829432,"3Post_Hunt"
"169",128,2014-05-28,"Adult","Male",2014,"Webb",228.953852375114,"3Post_Hunt"
"170",128,2014-05-29,"Adult","Male",2014,"Webb",230.696667917717,"3Post_Hunt"
"171",128,2014-05-30,"Adult","Male",2014,"Webb",192.431364657152,"3Post_Hunt"
"172",128,2014-05-31,"Adult","Male",2014,"Webb",144.675981071358,"3Post_Hunt"
"173",128,2014-06-01,"Adult","Male",2014,"Webb",184.982669347013,"3Post_Hunt"
"174",128,2014-06-02,"Adult","Male",2014,"Webb",197.232322697339,"3Post_Hunt"
"175",128,2014-06-03,"Adult","Male",2014,"Webb",162.975177154351,"3Post_Hunt"
"176",128,2014-06-04,"Adult","Male",2014,"Webb",182.977508045286,"3Post_Hunt"
"177",128,2014-06-05,"Adult","Male",2014,"Webb",178.315359423179,"3Post_Hunt"
"178",128,2014-06-06,"Adult","Male",2014,"Webb",244.854631623163,"3Post_Hunt"
"179",128,2014-06-07,"Adult","Male",2014,"Webb",312.112447338598,"3Post_Hunt"
"180",128,2014-06-08,"Adult","Male",2014,"Webb",341.668221048185,"3Post_Hunt"
"181",128,2014-06-09,"Adult","Male",2014,"Webb",309.447292681466,"3Post_Hunt"
"182",128,2014-06-10,"Adult","Male",2014,"Webb",283.608908107593,"3Post_Hunt"
"183",128,2014-06-11,"Adult","Male",2014,"Webb",218.043454213577,"3Post_Hunt"
"184",128,2014-06-12,"Adult","Male",2014,"Webb",196.499500789673,"3Post_Hunt"
"185",128,2014-06-13,"Adult","Male",2014,"Webb",183.417922741839,"3Post_Hunt"
"186",128,2014-06-14,"Adult","Male",2014,"Webb",292.862149707912,"3Post_Hunt"
"187",128,2014-06-15,"Adult","Male",2014,"Webb",268.651930625071,"3Post_Hunt"
"188",128,2014-06-16,"Adult","Male",2014,"Webb",214.261492085179,"3Post_Hunt"
"189",128,2014-06-17,"Adult","Male",2014,"Webb",270.492110499149,"3Post_Hunt"
"190",128,2014-06-18,"Adult","Male",2014,"Webb",894.443084953995,"3Post_Hunt"
"191",128,2014-06-19,"Adult","Male",2014,"Webb",1129.915128274,"3Post_Hunt"
"192",128,2014-06-20,"Adult","Male",2014,"Webb",1504.31541637868,"3Post_Hunt"
"193",128,2014-06-21,"Adult","Male",2014,"Webb",1202.88268846504,"3Post_Hunt"
"194",128,2014-06-22,"Adult","Male",2014,"Webb",931.179949499626,"3Post_Hunt"
"195",128,2014-06-23,"Adult","Male",2014,"Webb",820.604670256465,"3Post_Hunt"
"196",128,2014-06-24,"Adult","Male",2014,"Webb",798.858163034407,"3Post_Hunt"
"197",128,2014-06-25,"Adult","Male",2014,"Webb",521.773040708796,"3Post_Hunt"
"198",128,2014-06-26,"Adult","Male",2014,"Webb",227.247146886452,"3Post_Hunt"
"199",128,2014-06-27,"Adult","Male",2014,"Webb",211.303817966975,"3Post_Hunt"
"200",128,2014-06-28,"Adult","Male",2014,"Webb",204.671891279808,"3Post_Hunt"
"201",128,2014-06-29,"Adult","Male",2014,"Webb",287.552598144368,"3Post_Hunt"
"202",128,2014-06-30,"Adult","Male",2014,"Webb",319.676887385455,"3Post_Hunt"
"203",128,2014-07-01,"Adult","Male",2014,"Webb",202.233118133097,"3Post_Hunt"
"204",128,2014-07-02,"Adult","Male",2014,"Webb",184.439533201238,"3Post_Hunt"
"205",128,2014-07-03,"Adult","Male",2014,"Webb",243.115812684175,"3Post_Hunt"
